heart_rate;oxygen_saturation;perfusion_index;motion_activity;activity_classification;heart_rate_variability;respiration_rate;energy;core_temperature;temperature_local;barometer_pressure;gsr_electrode;health_score;relax_stress_intensity_score;sleep_quality_index_score;training_effect_score;activity_score;richness_score;heart_rate_quality;oxygen_saturation_quality;blood_pulse_wave;number_of_steps;activity_classification_quality;energy_quality;heart_rate_variability_quality;respiration_rate_quality;core_temperature_quality;temperature_object;temperature_barometer;timestamp
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.3400001526;975.299987793;21;1.9607843161;0;0;1.9607843161;0;0;0;0;0;0;2;100;0;0;0;26.1599998474;25.3799991608;2020-05-13 12:28:40+00:00
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.4099998474;975.6000366211;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;3;100;0;0;0;26.3400001526;25.5599994659;2020-05-13 12:28:41+00:00
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.4399986267;975.4000244141;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;5;100;0;0;0;26.3799991608;25.5;2020-05-13 12:28:42+00:00
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.4699993134;975.5;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;7;100;0;0;0;26.4099998474;25.5599994659;2020-05-13 12:28:43+00:00
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.5299987793;975.5;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;8;100;0;0;0;26.5299987793;25.6899986267;2020-05-13 12:28:44+00:00
0;60;0;0.7843137383000001;1;0;0;22.1832637787;21;26.5599994659;975.5;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;10;100;0;0;0;26.5;25.6899986267;2020-05-13 12:28:45+00:00
0;60;0;1.9607843161;1;0;0;22.1832637787;21;26.5900001526;975.700012207;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;11;100;0;0;0;26.5900001526;25.75;2020-05-13 12:28:46+00:00
0;60;0;3.9215686321;1;0;0;22.1832637787;21;26.6599998474;976.0;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;13;100;0;0;0;26.6899986267;25.8799991608;2020-05-13 12:28:47+00:00
82;60;0;2.3529412746;1;0;0;22.1832637787;21;26.6899986267;975.299987793;21;1.9607843161;0;0;0.0;0;0;71;0;0;0;14;100;0;0;0;26.6899986267;25.8099994659;2020-05-13 12:28:48+00:00
0;60;0;2.3529412746;1;0;0;22.1832637787;21;26.7199993134;975.5;21;1.9607843161;0;0;0.0;0;0;0;0;0;0;14;100;0;0;0;26.7199993134;25.8799991608;2020-05-13 12:28:49+00:00
